Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Fire,2014,5/15/2014,10:43 AM,Unknown,Unknown,San Diego Gas & Electric Co,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","wild fire, public appeal"
Physical Attack,2014,5/15/2014,12:10 PM,5/15/2014,12:13 PM,"Whiting Clean Energy, Inc.","Whiting, Indiana",RFC,N/A,N/A,"vandalism, physical"
Fire,2014,5/14/2014,3:34 PM,Unknown,Unknown,San Diego Gas & Electric Company,"San Diego & Orange Counties, California",WECC,N/A,426,"wild fire, public appeal"
Vandalism,2014,5/12/2014,1:14 PM,5/12/2014,1:15 PM,PacifiCorp,"Layton, Utah",WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,5/11/2014,6:38 PM,5/11/2014,6:39 PM,Great River Energy,"MISO North, Minnesota",MRO,N/A,Unknown,"vandalism, physical"
High Winds and Rain,2014,5/9/2014,6:00 PM,5/11/2014,1:00 PM,Vectren Energy Delivery of Indiana,Indiana,RFC,N/A,"56,000","severe weather, wind"
Physical Attack,2014,5/8/2014,8:39 AM,5/8/2014,8:40 AM,"CSolar IV South, LLC","Imperial Valley, California",WECC,N/A,Unknown,"vandalism, physical"
Physical Attack,2014,5/8/2014,1:00 AM,5/8/2014,1:01 AM,Clarksdale Public Utilities,Mississippi,SERC,N/A,Unknown,"vandalism, physical"
Storm,2014,4/30/2014,3:50 AM,4/30/2014,2:00 PM,Southern Company,"Alabama, Florida, Georgia",SERC,296,"89,000","severe weather, thunderstorm"
Storm,2014,4/29/2014,11:30 PM,4/29/2014,12:30 PM,Southern Company,"Mississippi, Alabama",SERC,355,"106,648","severe weather, thunderstorm"
Storm,2014,4/29/2014,9:37 AM,5/1/2014,9:00 AM,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,N/A,"57,000","severe weather, thunderstorm"
Electrical System Separation,2014,4/27/2014,9:15 AM,Unknown,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000",islanding
Vandalism,2014,4/27/2014,12:07 PM,4/27/2014,12:09 PM,PacifiCorp,"Albany, Oregon",WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,4/25/2014,7:00 AM,4/25/2014,7:30 AM,Delmarva Power & Light Company,Delaware,RFC,N/A,Unknown,"vandalism, physical"
Electrical System Separation,2014,4/24/2014,3:02 PM,4/24/2014,5:13 PM,Peak Reliability,"Alberta, Canada",WECC,N/A,Unknown,islanding
Load Shed,2014,4/23/2014,7:45 PM,4/23/2014,8:37 PM,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,"28,000",load shedding
Severe Weather,2014,4/12/2014,8:00 PM,4/15/2014,7:30 PM,Detroit Edison Company,Michigan,RFC,N/A,"164,000",severe weather
Storm,2014,4/12/2014,6:15 PM,4/14/2014,9:00 AM,Consumers Energy,Western and Central Michigan,RFC,N/A,"50,000","severe weather, thunderstorm"
Vandalism,2014,4/8/2014,1:00 PM,4/8/2014,1:01 PM,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,N/A,Unknown,"vandalism, physical"
Voltage Reduction,2014,4/8/2014,11:09 AM,4/8/2014,11:20 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,N/A,Unknown,voltage reduction
High Winds and Rain,2014,4/4/2014,3:30 AM,4/4/2014,8:15 AM,"Entergy Services, Inc.",Central Arkansas,SERC,N/A,"57,200","severe weather, wind"
Fuel Supply Emergency,2014,4/3/2014,12:00 AM,Unknown,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,N/A,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency,2014,4/3/2014,2:45 PM,4/9/2014,11:53 AM,We Energies,Wisconsin,MRO,N/A,Unknown,"fuel supply emergency, coal"
Voltage Reduction,2014,3/31/2014,3:41 PM,3/31/2014,8:08 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,N/A,Unknown,voltage reduction
Electrical System Separation,2014,3/26/2014,1:37 PM,3/26/2014,2:33 PM,Peak Reliability,Montana,WECC,N/A,Unknown,islanding
Physical Attack,2014,3/26/2014,4:00 PM,4/10/2014,12:00 PM,ITC Midwest LLC,Iowa,MRO,N/A,N/A,"vandalism, physical"
