Date,Consumption,Wind,Solar
2013/9/21,1109.983,41.542,81.734
2013/9/22,1034.784,147.459,89.46
2013/9/23,1337.004,187.236,73.494
2013/9/24,1343.883,44.893,96.79
2013/9/25,1345.291,42.94,85.92
2013/9/26,1357.468,69.414,55.844
2013/9/27,1320.766,32.952,99.215
2013/9/28,1107.352,76.345,120.002
2013/9/29,1058.327,254.499,113.07
2013/9/30,1340.561,207.27,102.334
2013/10/1,1356.25,151.379,103.343
2013/10/2,1356.806,214.145,132.357
2013/10/3,1114.298,307.258,134.028
2013/10/4,1243.239,210.346,71.536
2013/10/5,1102.931,44.746,37.333
2013/10/6,1029.171,14.973,38.165
2013/10/7,1332.582,21.54,67.05
2013/10/8,1355.787,31.485,56.169
2013/10/9,1368.275,107.319,33.767
2013/10/10,1375.585,51.156,36.995
2013/10/11,1390.856,216.712,24.75
2013/10/12,1156.703,115.496,32.451
2013/10/13,1059.1,88.603,80.513
2013/10/14,1359.007,97.273,65.9
2013/10/15,1388.107,84.746,38.206
2013/10/16,1386.258,46.623,37.985
2013/10/17,1439.136,382.307,55.496
2013/10/18,1358.135,130.938,70.246
2013/10/19,1161.249,155.89,95.322
2013/10/20,1073.035,142.765,41.137
2013/10/21,1365.215,166.227,59.546
2013/10/22,1393.467,191.176,81.215
2013/10/23,1425.148,285.689,31.867
2013/10/24,1374.195,120.264,80.394
2013/10/25,1367.943,144.035,40.387
2013/10/26,1176.6,214.723,63.193
2013/10/27,1121.969,450.834,46.832
2013/10/28,1434.242,509.086,49.281
2013/10/29,1421.424,364.668,49.35
2013/10/30,1391.847,218.371,71.616
2013/10/31,1352.353,201.365,78.12
2013/11/1,1207.43,175.166,27.108
2013/11/2,1176.259,146.478,21.254
2013/11/3,1151.302,374.046,31.61
2013/11/4,1432.748,347.597,26.119
2013/11/5,1448.568,206.336,55.163
2013/11/6,1463.362,255.634,19.585
2013/11/7,1451.321,236.447,33.766
2013/11/8,1402.112,73.007,33.597
2013/11/9,1243.213,354.567,44.44
2013/11/10,1129.633,161.22,21.614
2013/11/11,1409.638,80.579,39.271
2013/11/12,1439.701,120.731,47.098
2013/11/13,1441.604,90.046,35.895
2013/11/14,1452.086,62.393,24.861
2013/11/15,1406.642,27.481,25.665
2013/11/16,1219.449,80.881,21.185
2013/11/17,1117.711,28.074,13.293
2013/11/18,1422.174,53.486,21.503
2013/11/19,1453.625,52.709,13.889
2013/11/20,1440.757,67.69,18.511
2013/11/21,1461.718,62.859,17.6
